"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"20",0,0,0,0,0.191000000000003,0,-0.3,0,0,-29.6300000000001,87.4300000000001,2.58999999999992,2634,17024,0,0.634001170000005,8.39999999999998
"21",0,3090,1662,2154,-0.299999999999997,-0.1,0,0.599999999999998,0.0999999999999943,-20.55,45.29,-16.74,8619,17171,21.7,0.529209440000002,-2.19999999999999
"22",0,0,0,0,-0.0190000000000055,0,-0.1,0,0,-3.98000000000002,-19.76,-17.6399999999999,-2969,12282,0,0.461389949999997,0.5
"23",0,0,0,0,0.119,0,0.4,0,0,-6.14999999999986,-21.5900000000001,16.27,1896,13479,0,0.383852390000001,9.69999999999999
"24",0,3773.5,4213.69999999995,1529.39999999997,0.528000000000006,0.2,0.4,-0.599999999999998,-0.199999999999996,8.07999999999993,-40.1099999999999,8.88999999999999,-5499,14705,4.69999999999993,0.592003480000002,3.5
"25",0,0,0,0,0.263999999999996,0,1.1,0,0,6.54999999999995,-10.49,19.9499999999999,3719,15008,0,0.507449939999987,-4.89999999999998
"26",0,0,0,0,0.182000000000002,0,-0.6,0,0,-0.409999999999854,14.7,18.6900000000001,2349,14706,0,0.410685600000008,-9.80000000000001
"27",0,3397,2103.40000000002,4793.40000000002,0.063999999999993,-0.1,-0.1,-0.100000000000001,0.5,-26.3400000000001,38.76,-8.97000000000003,-1734,16248,13.1,0.166995889999995,-2.89999999999998
"28",0,0,0,0,0.164000000000001,0,-0.3,0,0,-19.5599999999999,2.94000000000005,-18.28,-3617,16294,0,0.0911066700000021,1.80000000000001
"29",0,0,0,0,-0.128,0,0,0,0,-5.63,0.949999999999818,21.9599999999999,-1419,15155,0,0.155475460000005,5.79999999999995
"30",0,1238,2539.70000000001,2047.5,0.146000000000001,-0.6,-0.1,0.699999999999999,-0.300000000000004,0.569999999999936,26.8700000000001,2.08000000000004,2937,16682,20.6,0.27402214,6.30000000000001
"31",-0.25,0,0,0,0.173000000000002,0,-0.1,0,0,5.42999999999995,38.9799999999998,16.67,893,16518,0,0.219312680000002,5.60000000000002
"32",0,0,0,0,-0.063999999999993,0,-0.2,0,0,7.88000000000011,-18.2199999999998,-15.88,2783,17995,0,0.215636889999999,0
"33",-0.25,1807.59999999998,5369.59999999998,6620.29999999999,-0.299999999999997,0.1,0.1,-0.699999999999999,0.700000000000003,27.04,-99.9100000000001,-15.26,5967,17270,26.0999999999999,0.200988209999991,-4.5
"34",0,0,0,0,-0.200000000000003,0,-0.2,0,0,34.8199999999999,16.8500000000001,-2.76999999999998,-6690,12639,0,0.263828029999999,3.5
"35",0,0,0,0,-0.0100000000000051,0,0.3,0,0,9.23000000000002,-17.72,37.76,-984,13233,0,0.28229687000001,6.69999999999999
"36",0,3479.79999999999,13285.9,14330.6,0.671999999999997,0.5,0.4,-0.5,1.4,-15.47,-20.9400000000001,28.5700000000001,-711,14965,14.2,0.278916479999992,-0.600000000000023
"37",0,0,0,0,-0.0600000000000023,0,0.8,0,0,9.54000000000019,40.01,28.87,632,17573,0,0.237438679999997,3
"38",-0.25,0,0,0,0.0100000000000051,0,-0.5,0,0,14.1699999999998,51.6199999999999,50.63,9493,17720,0,0.269332300000002,-1
"39",0,1667.60000000003,1887.5,-2632.19999999995,0.0300000000000011,-0.5,-0.1,0.300000000000001,-0.799999999999997,-23.9099999999999,94.6500000000001,12.1999999999999,1348,17064,32.7,0.33790101000001,0.700000000000045
"40",0,0,0,0,0.280000000000001,0,-0.2,0,0,2.6099999999999,7.63000000000011,25.2800000000001,-4436,18687,0,0.252412609999993,1.59999999999997
"41",-0.25,0,0,0,0.019999999999996,0,0.0999999999999996,0,0,20.9300000000001,-51.21,31,-207,17175,0,0.243335380000005,3.80000000000001
"42",0,6039.79999999999,8060.20000000001,9429.19999999995,0.180000000000007,1.1,-0.2,0.599999999999998,0.799999999999997,31.02,-5.65999999999985,-55.6700000000001,-1267,17083,29.4000000000001,2.93831177999999,6
"43",0,0,0,0,0.140000000000001,0,-0.2,0,0,35.8799999999999,-105.48,-26.12,-1664,17045,0,0.120541830000008,-6.39999999999998
"44",0,0,0,0,-0.260000000000005,0,-0.2,0,0,5.66000000000008,-12.97,11.1,1527,17588,0,0.194713549999989,12.3
"45",0,3005.5,2988.69999999995,1766.30000000005,0,-0.8,-0.1,0,-1.1,-36.5799999999999,80.99,-2.90999999999997,2476,18170,36.5999999999999,0.17341845,1.5
"46",0,0,0,0,-0.189999999999998,0,-0.1,0,0,3.78999999999996,-13.79,-14.28,-1113,14413,0,0.20174200000001,0.700000000000045
"47",0,0,0,0,0.299999999999997,0,0.2,0,0,20.27,-35.25,12.8599999999999,-3880,13939,0,0.208694719999997,-14.8
"48",0,1201.59999999998,10425.8,11648.2,0.170000000000002,-0.4,0.5,-1.6,1.2,29.4300000000001,-76.8799999999999,-27.76,-4395,12244,20.4000000000001,0.139741169999994,-0.800000000000011
"49",0,0,0,0,0.429999999999993,0,1.2,0,0,15.6799999999998,5.95999999999981,33.3900000000001,-1514,13827,0,0.174866170000001,5.10000000000002
"50",0,0,0,0,-0.259999999999991,0,-0.7,0,0,-29.1399999999999,75.8900000000001,13.2299999999999,5401,14127,0,0.196812309999999,2.19999999999999
"51",0,4748.40000000002,-22,1458.5,0.189999999999998,0.8,-0.3,1.8,0.200000000000003,-40.7,19.6700000000001,-4.05999999999995,828,14813,33.1999999999998,0.248419720000001,12.1
"52",0,0,0,0,0.0600000000000023,0,-0.3,0,0,24,-29.49,-7.39999999999998,448,16916,0,0.16249929,5.20000000000005
"53",-0.25,0,0,0,-0.019999999999996,0,0,0,0,-1.00999999999999,10.3499999999999,13.1999999999999,3307,18065,0,0.16623448,12.2
"54",0,1890,681.5,-331.599999999977,-0.190000000000012,-0.7,-0.1,0.799999999999997,-1,-26.4100000000001,25.45,-7.5,3065,15288,37,0.0958216400000111,0
"55",0,0,0,0,0.260000000000005,0,0.1,0,0,-32.4099999999999,34.1800000000001,-15.5599999999999,1936,14934,0,0.14500713999999,2
"56",0,0,0,0,0.599999999999994,0,-0.1,0,0,-4.19000000000005,5.89999999999986,-16.3100000000001,-3093,14692,0,0.0212674500000105,8.80000000000001
"57",0,3264.70000000001,2455.39999999997,1590.59999999998,0.140000000000001,0.4,-0.2,0.300000000000001,0.699999999999996,17.79,-6.52999999999997,-48.4499999999999,5772,12810,41.2,0.11040976999999,1.89999999999998
"58",0,0,0,0,-0.149999999999991,0,-0.2,0,0,36.3600000000001,-54.28,-4.38999999999999,-4328,10628,0,0.0322551499999975,-14
"59",0,0,0,0,0.109999999999999,0,0.1,0,0,20.6399999999999,39.9200000000001,21.67,-1293,8534,0,0.0449532500000061,-6.80000000000001
"60",0,3522.5,8176.29999999999,8619.10000000003,1.08,0,0.5,0.5,0.399999999999999,2.81999999999994,40.0599999999999,-14.3,-8939,8116,16.3,0.0137578399999967,5.90000000000003
"61",0,0,0,0,0.280000000000001,0,1.2,0,0,-40.1799999999998,21.0700000000002,-4.73000000000002,-1265,7889,0,0.0359845700000108,0.799999999999955
"62",0,0,0,0,-0.0700000000000074,0,-0.800000000000001,0,0,-10.1500000000001,53.3699999999999,19.02,7313,2714,0,0.043866929999993,0.800000000000011
"63",0,3007.89999999997,533.400000000023,-184.100000000035,-0.129999999999995,-0.1,0.100000000000001,1,-0.699999999999996,-2.03999999999996,24.0099999999998,13.8,-1243,7968,26.9000000000001,0.0295393300000057,15.6
"64",0,0,0,0,0.109999999999999,0,-0.6,0,0,-7.45000000000005,141.71,24.89,2796,9683,0,0.031102269999991,21.7
