"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",0,0,0,0,0.365000000000009,0,0.7,0,0,-22.5,112.22,-0.470000000000027,16860,16476,0,0.0793996900000025,-7.30000000000001
"2",0,0,0,0,0.0269999999999868,0,-0.5,0,0,2.55000000000018,20.1800000000001,-36.9,8813,15716,0,0.0659533600000017,-1
"3",0,2117.79999999999,2000.40000000002,3294.40000000002,-0.00900000000000034,-0.3,-0.2,-2,0.399999999999999,9.64999999999986,-27.49,-20.64,-2842,18502,12.1,0.0837292399999967,1.30000000000001
"4",0,0,0,0,0.173000000000002,0,-0.4,0,0,18.72,-109.57,-0.0500000000000114,1538,17849,0,0.104059659999997,6
"5",0,0,0,0,-0.137,0,0.1,0,0,11.24,-37.75,5.82000000000005,-9905,13518,0,0.152425430000001,-13.1
"6",-0.25,1635.60000000003,5306.5,4033.39999999997,-0.217999999999989,-0.2,-0.1,-2.1,-1,-22.1500000000001,-21.8499999999999,4.78999999999996,3378,18184,10.7,0.0905148200000028,-6.00000000000003
"7",0,0,0,0,0.445999999999998,0,-0.1,0,0,-11.6699999999998,92.1600000000001,33.34,-4795,20524,0,0.187361779999996,3.59999999999999
"8",0,0,0,0,0.691999999999993,0,-0.1,0,0,-6.91000000000008,42.3799999999999,5.23000000000002,-5759,19617,0,0.376583430000004,15.7
"9",-0.25,1914.79999999999,-38.6000000000349,-290.599999999977,-0.182000000000002,0.1,-0.1,-0.599999999999998,0.100000000000001,-17.8499999999999,-19.0999999999999,-20.0600000000001,21919,21041,20.1999999999999,0.418926889999995,7.20000000000005
"10",0,0,0,0,-0.345999999999989,0,0,0,0,-19.4100000000001,-37.49,-15.31,4575,18541,0,0.363733460000006,-3.5
"11",0,0,0,0,0.173000000000002,0,0.1,0,0,-10.55,69.1399999999999,19.99,32957,17467,0,0.320308010000005,-3
"12",0,3363.5,4508.20000000001,3759.5,0.582999999999998,0.4,0.5,1,0.399999999999999,-11.6200000000001,12.26,6.96999999999997,-64313,16908,3.10000000000002,0.368358879999988,3.29999999999995
"13",0,0,0,0,0.326999999999998,0,0.5,0,0,21.3300000000002,-6.25,31.5300000000001,9115,25823,0,0.326837900000001,3.60000000000002
"14",0,0,0,0,-0.0910000000000082,0,-0.4,0,0,15.52,10.3900000000001,4.59999999999991,14342,12840,0,0.363780520000006,6.5
"15",0,4527.29999999999,6529.79999999999,6590.39999999997,-0.135999999999996,0.3,-0.3,-1.1,0.5,19.6299999999999,-51.3599999999999,20.22,14148,14625,17.3,0.354569560000002,4.30000000000001
"16",-0.25,0,0,0,0,0,-0.2,0,0,-11.1599999999999,35.5699999999999,-41.14,12517,16026,0,0.1135077,-5.19999999999999
"17",0,0,0,0,-0.119,0,0.1,0,0,24.54,-90.04,3.47000000000003,29896,13386,0,0.148370610000001,-10.3
"18",0,3338.90000000002,4844.30000000005,4257.80000000005,0.209999999999994,-0.3,0,0.600000000000001,-0.399999999999999,-7.98000000000002,-12.6400000000001,6.67999999999995,-64153,16961,12.6,0.286696509999999,-1
"19",0,0,0,0,0.346000000000004,0,-0.1,0,0,-10.25,25.1900000000001,-12.9499999999999,-1952,16666,0,0.455813469999995,22.8
