"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"25",0,0,0,0,0.263999999999996,0,1.1,0,0,6.54999999999995,-10.49,19.9499999999999,1588,15008,0,0.37307349000001,-13.4
"26",0,0,0,0,0.182000000000002,0,-0.6,0,0,-0.409999999999854,14.7,18.6900000000001,1964,14706,0,0.244891159999995,-26.9000000000001
"27",0,3397,2103.40000000002,4793.40000000002,0.063999999999993,-0.1,-0.1,-0.100000000000001,0.5,-26.3400000000001,38.76,-8.97000000000003,-1412,16248,13.1,0.0914735900000068,3.60000000000002
"28",0,0,0,0,0.164000000000001,0,-0.3,0,0,-19.5599999999999,2.94000000000005,-18.28,-2959,16294,0,0.0492360100000013,5.10000000000002
"29",0,0,0,0,-0.128,0,0,0,0,-5.63,0.949999999999818,21.9599999999999,-448,15155,0,0.0557794599999966,8.5
"30",0,1238,2539.70000000001,2047.5,0.146000000000001,-0.6,-0.1,0.699999999999999,-0.300000000000004,0.569999999999936,26.8700000000001,2.08000000000004,2025,16682,20.6,0.141397189999992,17.1
"31",-0.25,0,0,0,0.173000000000002,0,-0.1,0,0,5.42999999999995,38.9799999999998,16.67,1579,16518,0,0.0969294600000126,9.29999999999995
"32",0,0,0,0,-0.063999999999993,0,-0.2,0,0,7.88000000000011,-18.2199999999998,-15.88,1471,17995,0,0.0705596199999974,-9.29999999999995
"33",-0.25,1807.59999999998,5369.59999999998,6620.29999999999,-0.299999999999997,0.1,0.1,-0.699999999999999,0.700000000000003,27.04,-99.9100000000001,-15.26,2952,17270,26.0999999999999,0.0944856299999941,-2.30000000000007
"34",0,0,0,0,-0.200000000000003,0,-0.2,0,0,34.8199999999999,16.8500000000001,-2.76999999999998,-3824,12639,0,0.156358040000001,-13.6999999999999
"35",0,0,0,0,-0.0100000000000051,0,0.3,0,0,9.23000000000002,-17.72,37.76,-1963,13233,0,0.250399569999999,22.3
"36",0,3479.79999999999,13285.9,14330.6,0.671999999999997,0.5,0.4,-0.5,1.4,-15.47,-20.9400000000001,28.5700000000001,-1247,14965,14.2,0.221453609999998,-5
"37",0,0,0,0,-0.0600000000000023,0,0.8,0,0,9.54000000000019,40.01,28.87,1858,17573,0,0.244379670000001,4.39999999999998
"38",-0.25,0,0,0,0.0100000000000051,0,-0.5,0,0,14.1699999999998,51.6199999999999,50.63,5604,17720,0,0.250933360000005,1.70000000000005
"39",0,1667.60000000003,1887.5,-2632.19999999995,0.0300000000000011,-0.5,-0.1,0.300000000000001,-0.799999999999997,-23.9099999999999,94.6500000000001,12.1999999999999,418,17064,32.7,0.300631299999992,10.4
"40",0,0,0,0,0.280000000000001,0,-0.2,0,0,2.6099999999999,7.63000000000011,25.2800000000001,-434,18687,0,0.19324297,7.70000000000005
"41",-0.25,0,0,0,0.019999999999996,0,0.0999999999999996,0,0,20.9300000000001,-51.21,31,-1176,17175,0,0.202570080000001,-9.70000000000005
"42",0,6039.79999999999,8060.20000000001,9429.19999999995,0.180000000000007,1.1,-0.2,0.599999999999998,0.799999999999997,31.02,-5.65999999999985,-55.6700000000001,835,17083,29.4000000000001,2.07227147,4.80000000000007
"43",0,0,0,0,0.140000000000001,0,-0.2,0,0,35.8799999999999,-105.48,-26.12,-2727,17045,0,0.109453689999995,-9.30000000000007
"44",0,0,0,0,-0.260000000000005,0,-0.2,0,0,5.66000000000008,-12.97,11.1,-1677,17588,0,0.254815900000011,21.4
"45",0,3005.5,2988.69999999995,1766.30000000005,0,-0.8,-0.1,0,-1.1,-36.5799999999999,80.99,-2.90999999999997,2773,18170,36.5999999999999,0.191070079999989,28.3000000000001
"46",0,0,0,0,-0.189999999999998,0,-0.1,0,0,3.78999999999996,-13.79,-14.28,-1010,14413,0,0.533737070000001,21.5
"47",0,0,0,0,0.299999999999997,0,0.2,0,0,20.27,-35.25,12.8599999999999,-1889,13939,0,0.25475929000001,-39.1
"48",0,1201.59999999998,10425.8,11648.2,0.170000000000002,-0.4,0.5,-1.6,1.2,29.4300000000001,-76.8799999999999,-27.76,-3213,12244,20.4000000000001,0.206557279999998,-11.4
"49",0,0,0,0,0.429999999999993,0,1.2,0,0,15.6799999999998,5.95999999999981,33.3900000000001,-69,13827,0,0.37814229,-2.20000000000005
"50",0,0,0,0,-0.259999999999991,0,-0.7,0,0,-29.1399999999999,75.8900000000001,13.2299999999999,2952,14127,0,0.174919950000003,25
"51",0,4748.40000000002,-22,1458.5,0.189999999999998,0.8,-0.3,1.8,0.200000000000003,-40.7,19.6700000000001,-4.05999999999995,657,14813,33.1999999999998,0.153538130000001,43.3000000000001
"52",0,0,0,0,0.0600000000000023,0,-0.3,0,0,24,-29.49,-7.39999999999998,1965,16916,0,0.0376793699999922,6.89999999999998
"53",-0.25,0,0,0,-0.019999999999996,0,0,0,0,-1.00999999999999,10.3499999999999,13.1999999999999,1668,18065,0,0.260080389999999,-11.7
"54",0,1890,681.5,-331.599999999977,-0.190000000000012,-0.7,-0.1,0.799999999999997,-1,-26.4100000000001,25.45,-7.5,2871,15288,37,-0.00241215999999156,-19.9
"55",0,0,0,0,0.260000000000005,0,0.1,0,0,-32.4099999999999,34.1800000000001,-15.5599999999999,-1114,14934,0,-0.0944853900000027,30.5
"56",0,0,0,0,0.599999999999994,0,-0.1,0,0,-4.19000000000005,5.89999999999986,-16.3100000000001,-2882,14692,0,0.00910276999999837,4
"57",0,3264.70000000001,2455.39999999997,1590.59999999998,0.140000000000001,0.4,-0.2,0.300000000000001,0.699999999999996,17.79,-6.52999999999997,-48.4499999999999,2682,12810,41.2,-0.165933789999997,-3.39999999999998
"58",0,0,0,0,-0.149999999999991,0,-0.2,0,0,36.3600000000001,-54.28,-4.38999999999999,-2481,10628,0,-0.132995480000005,-39.4
"59",0,0,0,0,0.109999999999999,0,0.1,0,0,20.6399999999999,39.9200000000001,21.67,-1298,8534,0,0.00531078999999579,16.5
"60",0,3522.5,8176.29999999999,8619.10000000003,1.08,0,0.5,0.5,0.399999999999999,2.81999999999994,40.0599999999999,-14.3,-4820,8116,16.3,0.0267478600000004,29.1999999999999
"61",0,0,0,0,0.280000000000001,0,1.2,0,0,-40.1799999999998,21.0700000000002,-4.73000000000002,344,7889,0,0.0209351800000093,14.9
"62",0,0,0,0,-0.0700000000000074,0,-0.800000000000001,0,0,-10.1500000000001,53.3699999999999,19.02,1915,2714,0,0.0491124799999909,5.70000000000005
"63",0,3007.89999999997,533.400000000023,-184.100000000035,-0.129999999999995,-0.1,0.100000000000001,1,-0.699999999999996,-2.03999999999996,24.0099999999998,13.8,2297,7968,26.9000000000001,-0.0395796199999978,36.1
"64",0,0,0,0,0.109999999999999,0,-0.6,0,0,-7.45000000000005,141.71,24.89,2317,9683,0,-0.0982823300000035,34.6999999999999
