idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(경기),총 인구(명),가계대출(조원),평균전세가율(경기),평균아파트매매가격(경기)
80,2008년 8월,5.25,335854.8,318949.2,317404.7,87.072,0.8,3.1,36.7,33.1,1041.54,1537.55,444.16,13406,49441742,675,,314.9
81,2008년 9월,5.25,335854.8,318949.2,317404.7,87.151,0.8,3,36.7,33.1,1130.4,1446.56,348.31,12562,49469003,675,,311
82,2008년 10월,4.25,324825.7,308136.4,309824.5,87.072,-3.3,3,29.2,34,1326.92,1201.7,310.48,11176,49495874,683.6,,300.4
83,2008년 11월,4,324825.7,308136.4,309824.5,86.837,-3.3,3,29.2,34,1390.09,1073.95,324.98,9833,49516085,683.6,,317.7
84,2008년 12월,3,324825.7,308136.4,309824.5,86.837,-3.3,3.3,29.2,34,1373.84,1114.9,355.1,9887,49540367,683.6,,317.8
85,2009년 1월,2.5,325118,311304,310313.4,86.916,0.1,3.6,26.8,33.8,1346.1,1156.37,377.44,8214,49552045,684.4,,350.7
86,2009년 2월,2,325118,311304,310313.4,87.543,0.1,3.9,26.8,33.8,1429.46,1139.75,390.98,13957,49577741,684.4,,346.5
87,2009년 3월,2,325118,311304,310313.4,88.17,0.1,4,26.8,33.8,1461.98,1140.45,484.22,16975,49596381,684.4,,331
88,2009년 4월,2,329451.1,324948.2,325010.6,88.405,1.3,3.8,27.8,33,1341.9,1322.1,533.82,19036,49593665,700.1,,352.6
89,2009년 5월,2,329451.1,324948.2,325010.6,88.405,1.3,3.8,27.8,33,1258.71,1400.5,516.39,18691,49618780,700.1,,335.4
90,2009년 6월,2,329451.1,324948.2,325010.6,88.327,1.3,3.8,27.8,33,1261.35,1395.24,496.39,19205,49642216,700.1,,346.4
91,2009년 7월,2,339310.5,330947.5,330728.8,88.641,3,3.7,31.6,33.9,1263.97,1460.03,515.61,21481,49665471,717,,342.5
92,2009년 8월,2,339310.5,330947.5,330728.8,88.955,3,3.7,31.6,33.9,1238.4,1577.91,523.16,20633,49688156,717,,349.1
93,2009년 9월,2,339310.5,330947.5,330728.8,89.034,3,3.3,31.6,33.9,1219.15,1659.45,501.83,24856,49711355,717,,332
94,2009년 10월,2,341844.7,332611.9,332007.7,88.798,0.7,3.2,31.5,33.4,1175.25,1630.61,477.15,22676,49736280,734.3,,318.1
95,2009년 11월,2,341844.7,332611.9,332007.7,88.955,0.7,3.3,31.5,33.4,1164.23,1583.47,498.35,19036,49759141,734.3,,316.1
96,2009년 12월,2,341844.7,332611.9,332007.7,89.269,0.7,3.5,31.5,33.4,1166.45,1646.64,535.44,19975,49773145,734.3,,324
97,2010년 1월,2,348541.7,339582.2,340962.7,89.974,2,5,33.7,34.9,1138.82,1682.16,505.32,13605,49810609,740.8,,341.2
98,2010년 2월,2,348541.7,339582.2,340962.7,90.156,2,4.8,33.7,34.9,1157.08,1598.96,518.7,13752,49835331,740.8,,322
99,2010년 3월,2,348541.7,339582.2,340962.7,90.338,2,4.1,33.7,34.9,1137.64,1665.5,512.86,17220,49862894,740.8,,308.2
100,2010년 4월,2,355163.3,346946.5,348176.8,90.702,1.9,3.7,31.4,35.9,1117.11,1730.29,497.85,15434,49889125,756.9,,300.4
101,2010년 5월,2,355163.3,346946.5,348176.8,90.793,1.9,3.2,31.4,35.9,1163.11,1648.3,493.3,13129,49913379,756.9,,303.8
102,2010년 6월,2,355163.3,346946.5,348176.8,90.702,1.9,3.5,31.4,35.9,1212.33,1691.94,490.97,14791,49934126,756.9,,304.9
103,2010년 7월,2.25,359266.2,351857.4,353549.2,90.884,1.2,3.7,32.1,35.6,1207.3,1731.12,475.35,14027,49955240,771,,301.6
104,2010년 8월,2.25,359266.2,351857.4,353549.2,91.34,1.2,3.3,32.1,35.6,1179.92,1762.18,482.36,12350,49976963,771,,300.7
105,2010년 9월,2.25,359266.2,351857.4,353549.2,92.068,1.2,3.4,32.1,35.6,1167.01,1815.75,509.94,11654,50001273,771,,306.2
106,2010년 10월,2.25,363646.8,351046.3,348931.8,92.068,1.2,3.3,33.4,34.5,1123.45,1889.7,514.88,15409,50475351,793.8,,315.1
107,2010년 11월,2.5,363646.8,351046.3,348931.8,91.613,1.2,3,33.4,34.5,1126.2,1924.71,505.36,18020,50495462,793.8,,331.1
108,2010년 12월,2.5,363646.8,351046.3,348931.8,91.977,1.2,3.5,33.4,34.5,1147.55,2002.5,528.6,22967,50515666,793.8,,335.6
109,2011년 1월,2.75,367040.1,347744.6,348249.7,93.07,0.9,3.8,33.9,34.3,1120.07,2091.61,517.58,17766,50534731,806.4,,335.8
110,2011년 2월,2.75,367040.1,347744.6,348249.7,93.707,0.9,4.5,33.9,34.3,1118.14,2002.87,510.59,16784,50555262,806.4,,324.9
111,2011년 3월,3,367040.1,347744.6,348249.7,94.072,0.9,4.3,33.9,34.3,1122.45,2002.67,528.44,21236,50575130,806.4,,312.5
112,2011년 4월,3,368841.5,352078.6,354035.9,94.163,0.5,3.7,34.7,34.3,1086.84,2153.13,494.71,16661,50594424,826.9,,308.8
113,2011년 5월,3,368841.5,352078.6,354035.9,94.345,0.5,3.2,34.7,34.3,1083.54,2121.87,469.03,14557,50613213,826.9,,313
114,2011년 6월,3.25,368841.5,352078.6,354035.9,94.527,0.5,3.3,34.7,34.3,1081.27,2074.64,511.55,13172,50627347,826.9,,314.8
115,2011년 7월,3.25,370782.8,353512.7,356925.9,94.982,0.5,3.3,31.3,34.8,1059.5,2150.06,488.16,13818,50641565,839.7,,318.6
116,2011년 8월,3.25,370782.8,353512.7,356925.9,95.62,0.5,3,31.3,34.8,1073.17,1869.41,461.47,14635,50662739,839.7,,318.4
117,2011년 9월,3.25,370782.8,353512.7,356925.9,95.529,0.5,3,31.3,34.8,1118.61,1790.95,471.45,16619,50681829,839.7,,315.5
118,2011년 10월,3.25,372534,352132.7,355061.9,95.347,0.5,2.9,32.9,35.1,1155.45,1825.88,497.85,16305,50699478,861.4,,316.4
119,2011년 11월,3.25,372534,352132.7,355061.9,95.438,0.5,2.9,32.9,35.1,1132.31,1858.8,501.07,15502,50717719,861.4,,316.1
120,2011년 12월,3.25,372534,352132.7,355061.9,95.802,0.5,3,32.9,35.1,1147.45,1863.23,516.72,21562,50734284,861.4,,318
121,2012년 1월,3.25,375799.3,355987.3,359499.5,96.184,0.9,3.5,33.8,34.7,1145.85,1891.01,532.84,7088,50750837,862.9,57.81207518,316.6
122,2012년 2월,3.25,375799.3,355987.3,359499.5,96.549,0.9,4.2,33.8,34.7,1123.35,2003.23,532.37,10506,50767313,862.9,57.94712503,310.6
123,2012년 3월,3.25,375799.3,355987.3,359499.5,96.576,0.9,3.7,33.8,34.7,1125.9,2023.41,495.47,14664,50783029,862.9,58.01341072,305.2
124,2012년 4월,3.25,377917.1,357987.7,362793.9,96.567,0.6,3.5,31.8,35.1,1135.55,1995.92,474.83,13327,50801531,875,58.09474079,303.7
125,2012년 5월,3.25,377917.1,357987.7,362793.9,96.74,0.6,3.1,31.8,35.1,1154.27,1886.35,474.78,12516,50819380,875,58.16841899,308.4
126,2012년 6월,3.25,377917.1,357987.7,362793.9,96.603,0.6,3.2,31.8,35.1,1165.51,1848.6,480.6,10892,50832898,875,58.31370408,300.1
127,2012년 7월,3,379552.7,363294.2,366827.3,96.385,0.4,3.1,29.7,34.1,1143.36,1826.75,485.39,11716,50851082,885.7,58.4519426,294.3
128,2012년 8월,3,379552.7,363294.2,366827.3,96.831,0.4,3,29.7,34.1,1131.69,1918.91,518.73,10358,50871606,885.7,58.70585569,292.6
129,2012년 9월,3,379552.7,363294.2,366827.3,97.523,0.4,2.9,29.7,34.1,1124.78,1961.29,523.96,9774,50891223,885.7,59.26459618,304.6
130,2012년 10월,2.75,381467.5,363255.6,366536.7,97.341,0.5,2.8,29.1,34.2,1106.93,1942.19,503.9,15373,50912264,905.9,59.85157761,313
131,2012년 11월,2.75,381467.5,363255.6,366536.7,96.995,0.5,2.8,29.1,34.2,1087.52,1904.7,488.59,15456,50930805,905.9,60.28734915,309.9
132,2012년 12월,2.75,381467.5,363255.6,366536.7,97.168,0.5,2.9,29.1,34.2,1076.97,1973.84,508.58,21999,50948272,905.9,60.67194885,310.9
133,2013년 1월,2.75,384831,367763.8,370296.2,97.751,0.9,3.4,30.1,34.6,1065.35,1986.1,515.55,10960,50965180,909,61.16050418,308.4
134,2013년 2월,2.75,384831,367763.8,370296.2,98.078,0.9,3.9,30.1,34.6,1086.68,1979.85,547.08,11648,50991003,909,61.49905565,310.2
135,2013년 3월,2.75,384831,367763.8,370296.2,97.987,0.9,3.5,30.1,34.6,1102.2,1990.24,551.68,13090,51003843,909,61.95566995,315.2
136,2013년 4월,2.75,389358.3,374293.6,376886.6,97.851,1.2,3.2,29,35.1,1121.83,1938.88,571.9,16960,51018468,926.3,62.47496676,321.7
137,2013년 5월,2.5,389358.3,374293.6,376886.6,97.851,1.2,3,29,35.1,1110.67,1974.45,530.76,19604,51034494,926.3,62.60434731,314.8
138,2013년 6월,2.5,389358.3,374293.6,376886.6,97.732,1.2,3.1,29,35.1,1135.21,1884.41,534.23,25411,51047880,926.3,62.76452633,312.2
139,2013년 7월,2.5,392697.2,379137.9,381144.4,97.942,0.9,3.1,29.6,34.7,1127.23,1871.77,540.91,12698,51064841,938.9,63.13268969,309.7
140,2013년 8월,2.5,392697.2,379137.9,381144.4,98.288,0.9,3,29.6,34.7,1116.98,1896.96,527.96,11184,51081507,938.9,63.77568409,324
141,2013년 9월,2.5,392697.2,379137.9,381144.4,98.479,0.9,2.7,29.6,34.7,1087.35,1984.39,530.55,13818,51098531,938.9,64.40968526,332.4
142,2013년 10월,2.5,395787.2,380799.9,383298.4,98.179,0.8,2.7,30.2,34.8,1066.8,2029.68,513.81,22437,51115702,960.6,64.9388947,330.2
143,2013년 11월,2.5,395787.2,380799.9,383298.4,98.16,0.8,2.6,30.2,34.8,1062.82,2009.92,496.17,19468,51127984,960.6,65.40028465,330.7
144,2013년 12월,2.5,395787.2,380799.9,383298.4,98.279,0.8,3,30.2,34.8,1056.67,1988.33,512.44,21364,51141463,960.6,65.78413704,340.4
145,2014년 1월,2.5,399560.7,385013.6,384827.8,98.807,1,3.4,29.6,34.6,1064.75,1948.22,521.33,15865,51156168,965.3,66.37614052,343.9
146,2014년 2월,2.5,399560.7,385013.6,384827.8,99.071,1,4.5,29.6,34.6,1071.3,1937.73,541.28,19584,51171176,965.3,66.88359046,339
147,2014년 3월,2.5,399560.7,385013.6,384827.8,99.253,1,3.9,29.6,34.6,1070.89,1952.43,559.97,21933,51185882,965.3,67.29427606,329.2
148,2014년 4월,2.5,402957.7,387117,389621.2,99.317,0.9,3.8,29.5,35.1,1044.55,1991.19,551,20199,51202130,978.4,67.46127195,326.3
149,2014년 5월,2.5,402957.7,387117,389621.2,99.481,0.9,3.5,29.5,35.1,1024.99,1994.13,532.72,16582,51218424,978.4,67.55237862,328.1
150,2014년 6월,2.5,402957.7,387117,389621.2,99.353,0.9,3.5,29.5,35.1,1019.36,1995.08,554.68,15163,51233579,978.4,67.70785408,333.9
151,2014년 7월,2.5,404195.7,389656.7,391668.7,99.499,0.3,3.4,30.2,34.8,1019.93,2021.95,556.76,18100,51250261,999,67.98187622,340.2
152,2014년 8월,2.25,404195.7,389656.7,391668.7,99.672,0.3,3.3,30.2,34.8,1025.36,2060.93,573.43,18993,51266779,999,68.2011889,345.8
153,2014년 9월,2.25,404195.7,389656.7,391668.7,99.608,0.3,3.1,30.2,34.8,1033.24,2042.71,557.55,21776,51284774,999,68.41682579,345.8
154,2014년 10월,2,406003.3,395026.3,398289,99.308,0.4,3.2,29.5,35.5,1060.28,1942.8,542.29,27743,51302044,1025.1,68.617814,341.3
155,2014년 11월,2,406003.3,395026.3,398289,99.108,0.4,3,29.5,35.5,1095.1,1959.65,539.52,21053,51314683,1025.1,68.88164203,344.8
156,2014년 12월,2,406003.3,395026.3,398289,99.098,0.4,3.3,29.5,35.5,1104.33,1941.93,577.28,20069,51327916,1025.1,69.1639389,351.5
157,2015년 1월,2,409483.1,408312.2,412619.6,99.77,0.9,3.7,29,36.9,1088.86,1920.99,605.85,19358,51342881,1039.3,69.44285538,350.9
158,2015년 2월,2,409483.1,408312.2,412619.6,99.71,0.9,4.5,29,36.9,1098.4,1961,634.72,19990,51360454,1039.3,69.68029406,353.9
159,2015년 3월,1.75,409483.1,408312.2,412619.6,99.72,0.9,4,29,36.9,1112.57,2012.62,685.35,29483,51378174,1039.3,69.94962636,352.9
160,2015년 4월,1.75,411150.7,410199.7,409987.4,99.75,0.4,3.9,29.3,36.1,1088.66,2107.27,697.55,30831,51395238,1072,70.28752737,353.6
161,2015년 5월,1.75,411150.7,410199.7,409987.4,100.03,0.4,3.7,29.3,36.1,1091.27,2114.9,722.83,26395,51413925,1072,70.53993998,355.2
162,2015년 6월,1.5,411150.7,410199.7,409987.4,100.05,0.4,3.8,29.3,36.1,1112.2,2063.69,753.83,26188,51431100,1072,70.78327536,359
163,2015년 7월,1.5,417190.5,418259.9,419416.6,100.23,1.5,3.6,29.9,36.9,1143.22,2058.03,698.16,24921,51448183,1101.4,73.72158714,365
164,2015년 8월,1.5,417190.5,418259.9,419416.6,100.37,1.5,3.4,29.9,36.9,1179.1,1952.55,672.04,23257,51465228,1101.4,73.84212897,358.6
165,2015년 9월,1.5,417190.5,418259.9,419416.6,100.11,1.5,3.2,29.9,36.9,1184.76,1939.58,683.14,24784,51482816,1101.4,74.03684252,370.9
166,2015년 10월,1.5,420196,421248.6,421182.9,100.11,0.7,3.1,29.9,35.8,1148.18,2020.57,680.23,27260,51500986,1138,74.21026097,372.4
167,2015년 11월,1.5,420196,421248.6,421182.9,99.92,0.7,3,29.9,35.8,1151.97,2006.78,665.95,26147,51515399,1138,74.41200297,373.1
168,2015년 12월,1.5,420196,421248.6,421182.9,100.22,0.7,3.2,29.9,35.8,1172.24,1971.53,678.81,22267,51529338,1138,74.62069769,358.3
169,2016년 1월,1.5,421397.6,431674.4,432831.1,100.39,0.3,3.7,28.3,37,1201.67,1894.65,651.05,17872,51541582,1158.4,74.76043886,357.5
170,2016년 2월,1.5,421397.6,431674.4,432831.1,100.82,0.3,4.9,28.3,37,1217.35,1900.61,684.44,16358,51555409,1158.4,74.93530503,362.6
171,2016년 3월,1.5,421397.6,431674.4,432831.1,100.56,0.3,4.2,28.3,37,1188.21,1976.5,697.67,21759,51569536,1158.4,75.13211734,364.8
172,2016년 4월,1.5,426146,431652.4,434289.6,100.75,1.1,3.9,30.1,37.2,1147.51,1996.17,693.61,22587,51584349,1191.6,75.38053706,376.9
173,2016년 5월,1.5,426146,431652.4,434289.6,100.81,1.1,3.6,30.1,37.2,1171.51,1966.68,686.21,23035,51601265,1191.6,75.54303635,382.1
174,2016년 6월,1.25,426146,431652.4,434289.6,100.79,1.1,3.6,30.1,37.2,1170.5,1977.03,699.41,26342,51619330,1191.6,75.70927083,394.3
175,2016년 7월,1.25,428036,432333.9,433958,100.6,0.4,3.5,30.9,36.2,1144.09,2002.48,691.91,29407,51634618,1228.6,75.80509247,394.3
176,2016년 8월,1.25,428036,432333.9,433958,100.86,0.4,3.6,30.9,36.2,1111.68,2036.66,676.35,31343,51649552,1228.6,75.95009961,396.3
177,2016년 9월,1.25,428036,432333.9,433958,101.46,0.4,3.5,30.9,36.2,1107.49,2042.56,660.04,28250,51664244,1228.6,75.97136706,405.1
178,2016년 10월,1.25,431300.7,434789.3,435548.6,101.6,0.8,3.3,31.2,36.9,1125.28,2036.03,611.59,34022,51677054,1269.8,76.08177683,407
179,2016년 11월,1.25,431300.7,434789.3,435548.6,101.45,0.8,3.1,31.2,36.9,1161.64,1981.75,607.2,29694,51687682,1269.8,76.11403198,393
180,2016년 12월,1.25,431300.7,434789.3,435548.6,101.56,0.8,3.2,31.2,36.9,1182.28,2021.67,628.87,28401,51696216,1269.8,76.15898523,386.2
181,2017년 1월,1.25,434823.2,442965.6,444167.7,102.64,0.8,3.7,31.7,37.3,1185.1,2061.73,614.57,19462,51704332,1286.1,76.17274307,392.1
182,2017년 2월,1.25,434823.2,442965.6,444167.7,102.92,0.8,4.9,31.7,37.3,1144.92,2082.8,609.84,18197,51712221,1286.1,76.20872764,392.9
183,2017년 3월,1.25,434823.2,442965.6,444167.7,102.85,0.8,4.1,31.7,37.3,1134.77,2136.17,628.86,25510,51714935,1286.1,76.25259457,393.7
