idx,날짜,기준금리(%)1,국내총생산(시장가격 GDP)(십억원)1,국내총소득(GDI)1,국민총소득(GNI)1,소비자물가지수(2015 = 100),경제성장률(%)1,실업률(%)3,국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원)8,KOSPI(평균),KOSDAQ(평균)2,아파트 거래량 매매(전국),총 인구(명)1,가계대출(조원)1,평균전세가율(전국)1,평균아파트매매가격(전국)
47,2005년 11월,3.5,294487.8,292554,290141,78.914,1,3.6,32.6,34.1,1007.49,1253.26,591.7,,,514.8,,
48,2005년 12월,3.5,294487.8,292554,290141,78.6,1,3.6,32.6,34.1,1010.94,1338.81,652.37,,,514.8,,
49,2006년 1월,3.75,294487.8,292554,290141,78.836,1,3.6,34.2,33.2,1002.21,1379.32,721.05,,,514.8,,294.6
50,2006년 2월,3.75,299314.8,294724.3,293016.1,79.306,1.6,3.3,34.2,33.2,1010.87,1341.72,708.27,61675,,522.4,,248.2
51,2006년 3월,4,299314.8,294724.3,293016.1,79.464,1.6,3.5,34.2,33.2,1037.44,1331.72,656.84,80638,,522.4,,269.4
52,2006년 4월,4,299314.8,294724.3,293016.1,79.934,1.6,3.8,32.5,32.8,1021.17,1415.92,657.5,100342,,522.4,,251.9
53,2006년 5월,4,301501.6,296380.1,295371.9,80.013,0.7,4.1,32.5,32.8,1029.33,1388.83,693.71,85393,,540.5,,240.3
54,2006년 6월,4,301501.6,296380.1,295371.9,80.169,0.7,3.9,32.5,32.8,1046.25,1249.19,663.35,85190,,540.5,,215.2
55,2006년 7월,4.25,301501.6,296380.1,295371.9,80.013,0.7,3.5,34.1,33.5,1041.43,1278,576.71,77125,,540.5,,212.7
56,2006년 8월,4.25,306367.7,300509.3,300210.5,80.326,1.6,3.2,34.1,33.5,1024.15,1316.08,563.45,63979,,553.1,,226.6
57,2006년 9월,4.5,306367.7,300509.3,300210.5,80.797,1.6,3.4,34.1,33.5,987.03,1356.53,553.36,55837,,553.1,,258.9
58,2006년 10월,4.5,306367.7,300509.3,300210.5,81.032,1.6,3.4,32,33.3,970.22,1354.04,597.94,95943,,553.1,,306.2
59,2006년 11월,4.5,308755.4,305729.9,305369.8,80.64,0.8,3.4,32,33.3,975.09,1403.93,577.5,105432,,575.6,,260.9
60,2006년 12월,4.5,308755.4,305729.9,305369.8,80.248,0.8,3.2,32,33.3,954.44,1418.83,607.57,144274,,575.6,,242.8
61,2007년 1월,4.5,308755.4,305729.9,305369.8,80.483,0.8,3.3,33.5,33.3,941.4,1379.25,608.56,104845,,575.6,,202.6
