idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(강원),총 인구(명),가계대출(조원),평균전세가율(강원),평균아파트매매가격(강원)
15,2003년 3월,4.25,259233.3,265063.6,264112.5,72.962,-0.7,3.8,32.2,32.4,1266.06,679.73,,,,420.7,,
16,2003년 4월,4.25,259233.3,265063.6,264112.5,73.828,-0.2,3.7,32.2,32.6,1223.47,699.84,,,,420.7,,
17,2003년 5월,4.25,258833.7,264288.2,262762.5,73.695,-0.2,3.5,33.4,32.6,1185.12,630.98,,,,428.1,,
18,2003년 6월,4,258833.7,264288.2,262762.5,73.562,-0.2,3.4,33.4,32.6,1196.37,591.56,,,,428.1,,
19,2003년 7월,4,258833.7,264288.2,262762.5,73.362,1.9,3.4,33.4,33.3,1208.5,550.75,,,,428.1,,
20,2003년 8월,3.75,263836.1,270512.7,269811,73.296,1.9,3.6,32.6,33.3,1241.13,585.88,,,,433.1,,
21,2003년 9월,3.75,263836.1,270512.7,269811,73.628,1.9,3.5,32.6,33.3,1211.91,613.49,,,,433.1,,
22,2003년 10월,3.75,263836.1,270512.7,269811,74.294,2.6,3.3,32.6,34.8,1208.91,663.17,,,,433.1,,
23,2003년 11월,3.75,270800,278529.5,278150.8,74.36,2.6,3.4,32.1,34.8,1179.27,703.53,,,,445.4,,
24,2003년 12월,3.75,270800,278529.5,278150.8,74.227,2.6,3.5,32.1,34.8,1191.19,731.65,,,,445.4,,
25,2004년 1월,3.75,270800,278529.5,278150.8,74.561,1.3,3.8,32.1,35.6,1232.4,742.29,459.51,,,445.4,,
26,2004년 2월,3.75,274198,278703.3,278246.4,75.027,1.3,4,31.9,35.6,1232.82,756.45,448.28,,,447.6,,
