idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(전국),총 인구(명),가계대출(조원),평균전세가율(전국),평균아파트매매가격(전국)
80,2008년 8월,5.25,335854.8,318949.2,317404.7,87.072,0.8,3.1,36.7,33.1,1041.54,1537.55,444.16,58913,49441742,675,,221.1
81,2008년 9월,5.25,335854.8,318949.2,317404.7,87.151,0.8,3,36.7,33.1,1130.4,1446.56,348.31,57475,49469003,675,,204.8
82,2008년 10월,4.25,324825.7,308136.4,309824.5,87.072,-3.3,3,29.2,34,1326.92,1201.7,310.48,62073,49495874,683.6,,187.4
83,2008년 11월,4,324825.7,308136.4,309824.5,86.837,-3.3,3,29.2,34,1390.09,1073.95,324.98,48565,49516085,683.6,,206
84,2008년 12월,3,324825.7,308136.4,309824.5,86.837,-3.3,3.3,29.2,34,1373.84,1114.9,355.1,47428,49540367,683.6,,222.6
85,2009년 1월,2.5,325118,311304,310313.4,86.916,0.1,3.6,26.8,33.8,1346.1,1156.37,377.44,42098,49552045,684.4,,289.2
86,2009년 2월,2,325118,311304,310313.4,87.543,0.1,3.9,26.8,33.8,1429.46,1139.75,390.98,56443,49577741,684.4,,267.5
87,2009년 3월,2,325118,311304,310313.4,88.17,0.1,4,26.8,33.8,1461.98,1140.45,484.22,70996,49596381,684.4,,261.2
88,2009년 4월,2,329451.1,324948.2,325010.6,88.405,1.3,3.8,27.8,33,1341.9,1322.1,533.82,71353,49593665,700.1,,302.4
89,2009년 5월,2,329451.1,324948.2,325010.6,88.405,1.3,3.8,27.8,33,1258.71,1400.5,516.39,65763,49618780,700.1,,284
90,2009년 6월,2,329451.1,324948.2,325010.6,88.327,1.3,3.8,27.8,33,1261.35,1395.24,496.39,75123,49642216,700.1,,311.8
91,2009년 7월,2,339310.5,330947.5,330728.8,88.641,3,3.7,31.6,33.9,1263.97,1460.03,515.61,79427,49665471,717,,296.7
92,2009년 8월,2,339310.5,330947.5,330728.8,88.955,3,3.7,31.6,33.9,1238.4,1577.91,523.16,76345,49688156,717,,308.6
93,2009년 9월,2,339310.5,330947.5,330728.8,89.034,3,3.3,31.6,33.9,1219.15,1659.45,501.83,85778,49711355,717,,273.6
94,2009년 10월,2,341844.7,332611.9,332007.7,88.798,0.7,3.2,31.5,33.4,1175.25,1630.61,477.15,82308,49736280,734.3,,235.7
95,2009년 11월,2,341844.7,332611.9,332007.7,88.955,0.7,3.3,31.5,33.4,1164.23,1583.47,498.35,72547,49759141,734.3,,231.8
96,2009년 12월,2,341844.7,332611.9,332007.7,89.269,0.7,3.5,31.5,33.4,1166.45,1646.64,535.44,75214,49773145,734.3,,250.2
97,2010년 1월,2,348541.7,339582.2,340962.7,89.974,2,5,33.7,34.9,1138.82,1682.16,505.32,56014,49810609,740.8,,266.6
98,2010년 2월,2,348541.7,339582.2,340962.7,90.156,2,4.8,33.7,34.9,1157.08,1598.96,518.7,62064,49835331,740.8,,244
99,2010년 3월,2,348541.7,339582.2,340962.7,90.338,2,4.1,33.7,34.9,1137.64,1665.5,512.86,73895,49862894,740.8,,229.6
100,2010년 4월,2,355163.3,346946.5,348176.8,90.702,1.9,3.7,31.4,35.9,1117.11,1730.29,497.85,67556,49889125,756.9,,216.8
101,2010년 5월,2,355163.3,346946.5,348176.8,90.793,1.9,3.2,31.4,35.9,1163.11,1648.3,493.3,55435,49913379,756.9,,220.3
102,2010년 6월,2,355163.3,346946.5,348176.8,90.702,1.9,3.5,31.4,35.9,1212.33,1691.94,490.97,57851,49934126,756.9,,224.6
103,2010년 7월,2.25,359266.2,351857.4,353549.2,90.884,1.2,3.7,32.1,35.6,1207.3,1731.12,475.35,55447,49955240,771,,221.9
