idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(전국),총 인구(명),가계대출(조원),평균전세가율(전국),소비자물가지수(2015 = 100)(lag6),소비자물가지수(2015 = 100)(lag5),소비자물가지수(2015 = 100)(lag4),소비자물가지수(2015 = 100)(lag3),소비자물가지수(2015 = 100)(lag2),소비자물가지수(2015 = 100)(lag1),실업률(%)(lag6),실업률(%)(lag5),실업률(%)(lag4),실업률(%)(lag3),실업률(%)(lag2),실업률(%)(lag1),KOSPI(평균)(lag6),KOSPI(평균)(lag5),KOSPI(평균)(lag4),KOSPI(평균)(lag3),KOSPI(평균)(lag2),KOSPI(평균)(lag1),KOSDAQ(평균)(lag6),KOSDAQ(평균)(lag5),KOSDAQ(평균)(lag4),KOSDAQ(평균)(lag3),KOSDAQ(평균)(lag2),KOSDAQ(평균)(lag1),평균전세가율(전국)(lag6),평균전세가율(전국)(lag5),평균전세가율(전국)(lag4),평균전세가율(전국)(lag3),평균전세가율(전국)(lag2),평균전세가율(전국)(lag1),기준금리(%)(lag6),기준금리(%)(lag5),기준금리(%)(lag4),기준금리(%)(lag3),기준금리(%)(lag2),기준금리(%)(lag1),국내총투자율(%)(lag6),국내총투자율(%)(lag5),국내총투자율(%)(lag4),국내총투자율(%)(lag3),국내총투자율(%)(lag2),국내총투자율(%)(lag1),가계대출(조원)(lag6),가계대출(조원)(lag5),가계대출(조원)(lag4),가계대출(조원)(lag3),가계대출(조원)(lag2),가계대출(조원)(lag1),국내총생산(시장가격 GDP)(십억원)(lag6),국내총생산(시장가격 GDP)(십억원)(lag5),국내총생산(시장가격 GDP)(십억원)(lag4),국내총생산(시장가격 GDP)(십억원)(lag3),국내총생산(시장가격 GDP)(십억원)(lag2),국내총생산(시장가격 GDP)(십억원)(lag1),원/미국달러(매매기준율 평균 원)(lag6),원/미국달러(매매기준율 평균 원)(lag5),원/미국달러(매매기준율 평균 원)(lag4),원/미국달러(매매기준율 평균 원)(lag3),원/미국달러(매매기준율 평균 원)(lag2),원/미국달러(매매기준율 평균 원)(lag1),원/미국달러(매매기준율 평균 원)(lag8),아파트 거래량 매매(전국)(lag6),아파트 거래량 매매(전국)(lag5),아파트 거래량 매매(전국)(lag4),아파트 거래량 매매(전국)(lag3),아파트 거래량 매매(전국)(lag2),아파트 거래량 매매(전국)(lag1),평균아파트매매가격(전국),평균아파트매매가격(서울),평균종합주택매매가격지수(전국),평균종합주택매매가격지수(서울),평균아파트매매가격(전국) (diff; order=1),아파트 거래량 매매(전국) (diff; order=1),실업률(%) (diff; order=1),KOSDAQ(평균) (diff; order=1),기준금리(%) (diff; order=1),원/미국달러(매매기준율 평균 원) (diff; order=1),국내총생산(시장가격 GDP)(십억원) (diff; order=1),국내총소득(GDI) (diff; order=1),국민총소득(GNI) (diff; order=1),소비자물가지수(2015 = 100) (diff; order=1),경제성장률(%) (diff; order=1),국내총투자율(%) (diff; order=1),총저축률(%) (diff; order=1),KOSPI(평균) (diff; order=1),총 인구(명) (diff; order=1),가계대출(조원) (diff; order=1),평균전세가율(전국) (diff; order=1),KOSPI(평균) (diff; order=1)(lag1),아파트 거래량 매매(전국) (diff; order=1)(lag1)
21,2003년 9월,3.75,263836.1,270512.7,269811,74.294,1.9,3.3,32.1,33.3,1166.17,742.29,,,,433.1,,73.828,73.695,73.562,73.362,73.296,73.628,3.7,3.5,3.4,3.4,3.6,3.5,550.75,585.88,613.49,663.17,703.53,731.65,,,,,,,,,,,,,4.25,4.25,4,4,3.75,3.75,33.4,32.6,32.6,32.6,32.1,32.1,420.7,428.1,428.1,428.1,433.1,433.1,259233.3,258833.7,258833.7,258833.7,263836.1,263836.1,1232.4,1232.82,1199.78,1194.02,1181.59,1178.42,1179.27,,,,,,,,,,,,,-0.2,,0,-12.25,0,0,0,0.666,0,0,0,10.64,,0,,28.12,
22,2003년 10월,3.75,270800,278529.5,278150.8,74.36,2.6,3.4,31.9,34.8,1166.27,756.45,,,,445.4,,73.695,73.562,73.362,73.296,73.628,74.294,3.5,3.4,3.4,3.6,3.5,3.3,585.88,613.49,663.17,703.53,731.65,742.29,,,,,,,,,,,,,4.25,4,4,3.75,3.75,3.75,32.6,32.6,32.6,32.1,32.1,32.1,428.1,428.1,428.1,433.1,433.1,433.1,258833.7,258833.7,258833.7,263836.1,263836.1,263836.1,1232.82,1199.78,1194.02,1181.59,1178.42,1166.17,1191.19,,,,,,,,,,,,,0.1,,0,0.1,6963.9,8016.8,8339.8,0.066,0.7,-0.2,1.5,14.16,,12.3,,10.64,
23,2003년 11월,3.75,270800,278529.5,278150.8,74.227,2.6,3.5,31.9,34.8,1184.87,789.05,459.51,,,445.4,,73.562,73.362,73.296,73.628,74.294,74.36,3.4,3.4,3.6,3.5,3.3,3.4,613.49,663.17,703.53,731.65,742.29,756.45,,,,,,,,,,,,,4,4,3.75,3.75,3.75,3.75,32.6,32.6,32.1,32.1,32.1,31.9,428.1,428.1,433.1,433.1,433.1,445.4,258833.7,258833.7,263836.1,263836.1,263836.1,270800,1199.78,1194.02,1181.59,1178.42,1166.17,1166.27,1232.4,,,,,,,,,68.6,63.5,,,0.1,,0,18.6,0,0,0,-0.133,0,0,0,32.6,,0,,14.16,
24,2003년 12월,3.75,270800,278529.5,278150.8,74.561,2.6,3.8,31.9,34.8,1192.95,801.18,448.28,,,445.4,,73.362,73.296,73.628,74.294,74.36,74.227,3.4,3.6,3.5,3.3,3.4,3.5,663.17,703.53,731.65,742.29,756.45,789.05,,,,,,459.51,,,,,,,4,3.75,3.75,3.75,3.75,3.75,32.6,32.1,32.1,32.1,31.9,31.9,428.1,433.1,433.1,433.1,445.4,445.4,258833.7,263836.1,263836.1,263836.1,270800,270800,1194.02,1181.59,1178.42,1166.17,1166.27,1184.87,1232.82,,,,,,,,,68.1,63,,,0.3,-11.23,0,8.08,0,0,0,0.334,0,0,0,12.13,,0,,32.6,
25,2004년 1월,3.75,274198,278703.3,278246.4,75.027,1.3,4,32.7,35.6,1184.32,845.53,439.05,,,447.6,,73.296,73.628,74.294,74.36,74.227,74.561,3.6,3.5,3.3,3.4,3.5,3.8,703.53,731.65,742.29,756.45,789.05,801.18,,,,,459.51,448.28,,,,,,,3.75,3.75,3.75,3.75,3.75,3.75,32.1,32.1,32.1,31.9,31.9,31.9,433.1,433.1,433.1,445.4,445.4,445.4,263836.1,263836.1,263836.1,270800,270800,270800,1181.59,1178.42,1166.17,1166.27,1184.87,1192.95,1199.78,,,,,,,,,67.7,62.9,,,0.2,-9.23,0,-8.63,3398,173.8,95.6,0.466,-1.3,0.8,0.8,44.35,,2.2,,12.13,
26,2004년 2월,3.75,274198,278703.3,278246.4,75.359,1.3,4.1,32.7,35.6,1166.69,867.45,431.49,,,447.6,,73.628,74.294,74.36,74.227,74.561,75.027,3.5,3.3,3.4,3.5,3.8,4,731.65,742.29,756.45,789.05,801.18,845.53,,,,459.51,448.28,439.05,,,,,,,3.75,3.75,3.75,3.75,3.75,3.75,32.1,32.1,31.9,31.9,31.9,32.7,433.1,433.1,445.4,445.4,445.4,447.6,263836.1,263836.1,270800,270800,270800,274198,1178.42,1166.17,1166.27,1184.87,1192.95,1184.32,1194.02,,,,,,,,,67.8,63.1,,,0.1,-7.56,0,-17.63,0,0,0,0.332,0,0,0,21.92,,0,,44.35,
27,2004년 3월,3.75,274198,278703.3,278246.4,76.091,1.3,4,32.7,35.6,1166.34,875.58,463.2,,,447.6,,74.294,74.36,74.227,74.561,75.027,75.359,3.3,3.4,3.5,3.8,4,4.1,742.29,756.45,789.05,801.18,845.53,867.45,,,459.51,448.28,439.05,431.49,,,,,,,3.75,3.75,3.75,3.75,3.75,3.75,32.1,31.9,31.9,31.9,32.7,32.7,433.1,445.4,445.4,445.4,447.6,447.6,263836.1,270800,270800,270800,274198,274198,1166.17,1166.27,1184.87,1192.95,1184.32,1166.69,1181.59,,,,,,,,,67.9,63.4,,,-0.1,31.71,0,-0.35,0,0,0,0.732,0,0,0,8.13,,0,,21.92,
28,2004년 4월,3.75,276291.5,279781.2,278583.3,76.091,0.8,3.7,33,35.9,1150.85,907.14,408.41,,,453.1,,74.36,74.227,74.561,75.027,75.359,76.091,3.4,3.5,3.8,4,4.1,4,756.45,789.05,801.18,845.53,867.45,875.58,,459.51,448.28,439.05,431.49,463.2,,,,,,,3.75,3.75,3.75,3.75,3.75,3.75,31.9,31.9,31.9,32.7,32.7,32.7,445.4,445.4,445.4,447.6,447.6,447.6,270800,270800,270800,274198,274198,274198,1166.27,1184.87,1192.95,1184.32,1166.69,1166.34,1178.42,,,,,,,,,68,63.6,,,-0.3,-54.79,0,-15.49,2093.5,1077.9,336.9,0,-0.5,0.3,0.3,31.56,,5.5,,8.13,
29,2004년 5월,3.75,276291.5,279781.2,278583.3,76.025,0.8,3.5,33,35.9,1177.37,798.79,383.97,,,453.1,,74.227,74.561,75.027,75.359,76.091,76.091,3.5,3.8,4,4.1,4,3.7,789.05,801.18,845.53,867.45,875.58,907.14,459.51,448.28,439.05,431.49,463.2,408.41,,,,,,,3.75,3.75,3.75,3.75,3.75,3.75,31.9,31.9,32.7,32.7,32.7,33,445.4,445.4,447.6,447.6,447.6,453.1,270800,270800,274198,274198,274198,276291.5,1184.87,1192.95,1184.32,1166.69,1166.34,1150.85,1166.17,,,,,,,,,68,63.6,,,-0.2,-24.44,0,26.52,0,0,0,-0.066,0,0,0,-108.35,,0,,31.56,
30,2004년 6월,3.75,276291.5,279781.2,278583.3,76.025,0.8,3.4,33,35.9,1158.65,771.61,358.98,,,453.1,,74.561,75.027,75.359,76.091,76.091,76.025,3.8,4,4.1,4,3.7,3.5,801.18,845.53,867.45,875.58,907.14,798.79,448.28,439.05,431.49,463.2,408.41,383.97,,,,,,,3.75,3.75,3.75,3.75,3.75,3.75,31.9,32.7,32.7,32.7,33,33,445.4,447.6,447.6,447.6,453.1,453.1,270800,274198,274198,274198,276291.5,276291.5,1192.95,1184.32,1166.69,1166.34,1150.85,1177.37,1166.27,,,,,,,,,67.8,63.5,,,-0.1,-24.99,0,-18.72,0,0,0,0,0,0,0,-27.18,,0,,-108.35,
31,2004년 7월,3.75,277412.1,280328.3,279647.3,76.491,0.4,3.6,32.2,35.8,1157.66,746.07,344.08,,,458.5,,75.027,75.359,76.091,76.091,76.025,76.025,4,4.1,4,3.7,3.5,3.4,845.53,867.45,875.58,907.14,798.79,771.61,439.05,431.49,463.2,408.41,383.97,358.98,,,,,,,3.75,3.75,3.75,3.75,3.75,3.75,32.7,32.7,32.7,33,33,33,447.6,447.6,447.6,453.1,453.1,453.1,274198,274198,274198,276291.5,276291.5,276291.5,1184.32,1166.69,1166.34,1150.85,1177.37,1158.65,1184.87,,,,,,,,,67.6,63.3,,,0.2,-14.9,0,-0.99,1120.6,547.1,1064,0.466,-0.4,-0.8,-0.1,-25.54,,5.4,,-27.18,
32,2004년 8월,3.5,277412.1,280328.3,279647.3,77.156,0.4,3.6,32.2,35.8,1159,770.31,368.12,,,458.5,,75.359,76.091,76.091,76.025,76.025,76.491,4.1,4,3.7,3.5,3.4,3.6,867.45,875.58,907.14,798.79,771.61,746.07,431.49,463.2,408.41,383.97,358.98,344.08,,,,,,,3.75,3.75,3.75,3.75,3.75,3.75,32.7,32.7,33,33,33,32.2,447.6,447.6,453.1,453.1,453.1,458.5,274198,274198,276291.5,276291.5,276291.5,277412.1,1166.69,1166.34,1150.85,1177.37,1158.65,1157.66,1192.95,,,,,,,,,67.4,62.9,,,0,24.04,-0.25,1.34,0,0,0,0.665,0,0,0,24.24,,0,,-25.54,
33,2004년 9월,3.5,277412.1,280328.3,279647.3,77.156,0.4,3.3,32.2,35.8,1147.97,835.92,365.1,,,458.5,,76.091,76.091,76.025,76.025,76.491,77.156,4,3.7,3.5,3.4,3.6,3.6,875.58,907.14,798.79,771.61,746.07,770.31,463.2,408.41,383.97,358.98,344.08,368.12,,,,,,,3.75,3.75,3.75,3.75,3.75,3.5,32.7,33,33,33,32.2,32.2,447.6,453.1,453.1,453.1,458.5,458.5,274198,276291.5,276291.5,276291.5,277412.1,277412.1,1166.34,1150.85,1177.37,1158.65,1157.66,1159,1184.32,,,,,,,,,67.2,62.7,,,-0.3,-3.02,0,-11.03,0,0,0,0,0,0,0,65.61,,0,,24.24,
34,2004년 10월,3.5,279514.7,284030.8,284560,77.156,0.8,3.4,32.9,35.7,1144.04,849.11,367.72,,,468.9,,76.091,76.025,76.025,76.491,77.156,77.156,3.7,3.5,3.4,3.6,3.6,3.3,907.14,798.79,771.61,746.07,770.31,835.92,408.41,383.97,358.98,344.08,368.12,365.1,,,,,,,3.75,3.75,3.75,3.75,3.5,3.5,33,33,33,32.2,32.2,32.2,453.1,453.1,453.1,458.5,458.5,458.5,276291.5,276291.5,276291.5,277412.1,277412.1,277412.1,1150.85,1177.37,1158.65,1157.66,1159,1147.97,1166.69,,,,,,,,,67,62.4,,,0.1,2.62,0,-3.93,2102.6,3702.5,4912.7,0,0.4,0.7,-0.1,13.19,,10.4,,65.61,
35,2004년 11월,3.25,279514.7,284030.8,284560,76.691,0.8,3.5,32.9,35.7,1091.19,863.1,376.91,,,468.9,,76.025,76.025,76.491,77.156,77.156,77.156,3.5,3.4,3.6,3.6,3.3,3.4,798.79,771.61,746.07,770.31,835.92,849.11,383.97,358.98,344.08,368.12,365.1,367.72,,,,,,,3.75,3.75,3.75,3.5,3.5,3.5,33,33,32.2,32.2,32.2,32.9,453.1,453.1,458.5,458.5,458.5,468.9,276291.5,276291.5,277412.1,277412.1,277412.1,279514.7,1177.37,1158.65,1157.66,1159,1147.97,1144.04,1166.34,,,,,,,,,66.7,62.2,,,0.1,9.19,-0.25,-52.85,0,0,0,-0.465,0,0,0,13.99,,0,,13.19,
36,2004년 12월,3.25,279514.7,284030.8,284560,76.824,0.8,3.8,32.9,35.7,1050.91,873.06,436.91,,,468.9,,76.025,76.491,77.156,77.156,77.156,76.691,3.4,3.6,3.6,3.3,3.4,3.5,771.61,746.07,770.31,835.92,849.11,863.1,358.98,344.08,368.12,365.1,367.72,376.91,,,,,,,3.75,3.75,3.5,3.5,3.5,3.25,33,32.2,32.2,32.2,32.9,32.9,453.1,458.5,458.5,458.5,468.9,468.9,276291.5,277412.1,277412.1,277412.1,279514.7,279514.7,1158.65,1157.66,1159,1147.97,1144.04,1091.19,1150.85,,,,,,,,,66.4,61.9,,,0.3,60,0,-40.28,0,0,0,0.133,0,0,0,9.96,,0,,13.99,
37,2005년 1월,3.25,281893.1,285390.5,284782.6,77.58,0.9,4.3,32.1,34.9,1038.23,903.35,492.31,,,472.4,,76.491,77.156,77.156,77.156,76.691,76.824,3.6,3.6,3.3,3.4,3.5,3.8,746.07,770.31,835.92,849.11,863.1,873.06,344.08,368.12,365.1,367.72,376.91,436.91,,,,,,,3.75,3.5,3.5,3.5,3.25,3.25,32.2,32.2,32.2,32.9,32.9,32.9,458.5,458.5,458.5,468.9,468.9,468.9,277412.1,277412.1,277412.1,279514.7,279514.7,279514.7,1157.66,1159,1147.97,1144.04,1091.19,1050.91,1177.37,,,,,,,,,66.2,61.7,,,0.5,55.4,0,-12.68,2378.4,1359.7,222.6,0.756,0.1,-0.8,-0.8,30.29,,3.5,,9.96,
38,2005년 2월,3.25,281893.1,285390.5,284782.6,77.895,0.9,4.3,32.1,34.9,1022.43,964.48,474.28,,,472.4,,77.156,77.156,77.156,76.691,76.824,77.58,3.6,3.3,3.4,3.5,3.8,4.3,770.31,835.92,849.11,863.1,873.06,903.35,368.12,365.1,367.72,376.91,436.91,492.31,,,,,,,3.5,3.5,3.5,3.25,3.25,3.25,32.2,32.2,32.9,32.9,32.9,32.1,458.5,458.5,468.9,468.9,468.9,472.4,277412.1,277412.1,279514.7,279514.7,279514.7,281893.1,1159,1147.97,1144.04,1091.19,1050.91,1038.23,1158.65,,,,,,,,,66.4,62,,,0,-18.03,0,-15.8,0,0,0,0.315,0,0,0,61.13,,0,,30.29,
39,2005년 3월,3.25,281893.1,285390.5,284782.6,78.365,0.9,4.1,32.1,34.9,1007.49,988.23,448.71,,,472.4,,77.156,77.156,76.691,76.824,77.58,77.895,3.3,3.4,3.5,3.8,4.3,4.3,835.92,849.11,863.1,873.06,903.35,964.48,365.1,367.72,376.91,436.91,492.31,474.28,,,,,,,3.5,3.5,3.25,3.25,3.25,3.25,32.2,32.9,32.9,32.9,32.1,32.1,458.5,468.9,468.9,468.9,472.4,472.4,277412.1,279514.7,279514.7,279514.7,281893.1,281893.1,1147.97,1144.04,1091.19,1050.91,1038.23,1022.43,1157.66,,,,,,,,,66.6,62.2,,,-0.2,-25.57,0,-14.94,0,0,0,0.47,0,0,0,23.75,,0,,61.13,
40,2005년 4월,3.25,287212.6,288224.3,286402.7,78.444,1.9,3.8,33.1,34.1,1010.94,955.41,441.46,,,490.7,,77.156,76.691,76.824,77.58,77.895,78.365,3.4,3.5,3.8,4.3,4.3,4.1,849.11,863.1,873.06,903.35,964.48,988.23,367.72,376.91,436.91,492.31,474.28,448.71,,,,,,,3.5,3.25,3.25,3.25,3.25,3.25,32.9,32.9,32.9,32.1,32.1,32.1,468.9,468.9,468.9,472.4,472.4,472.4,279514.7,279514.7,279514.7,281893.1,281893.1,281893.1,1144.04,1091.19,1050.91,1038.23,1022.43,1007.49,1159,,,,,,,,,67,62.6,,,-0.3,-7.25,0,3.45,5319.5,2833.8,1620.1,0.079,1,1,-0.8,-32.82,,18.3,,23.75,
41,2005년 5월,3.25,287212.6,288224.3,286402.7,78.365,1.9,3.6,33.1,34.1,1002.21,938.98,487.55,,,490.7,,76.691,76.824,77.58,77.895,78.365,78.444,3.5,3.8,4.3,4.3,4.1,3.8,863.1,873.06,903.35,964.48,988.23,955.41,376.91,436.91,492.31,474.28,448.71,441.46,,,,,,,3.25,3.25,3.25,3.25,3.25,3.25,32.9,32.9,32.1,32.1,32.1,33.1,468.9,468.9,472.4,472.4,472.4,490.7,279514.7,279514.7,281893.1,281893.1,281893.1,287212.6,1091.19,1050.91,1038.23,1022.43,1007.49,1010.94,1147.97,,,,,,,,,67.3,63,,,-0.2,46.09,0,-8.73,0,0,0,-0.079,0,0,0,-16.43,,0,,-32.82,
42,2005년 6월,3.25,287212.6,288224.3,286402.7,78.129,1.9,3.6,33.1,34.1,1010.87,991.34,525.01,,,490.7,,76.824,77.58,77.895,78.365,78.444,78.365,3.8,4.3,4.3,4.1,3.8,3.6,873.06,903.35,964.48,988.23,955.41,938.98,436.91,492.31,474.28,448.71,441.46,487.55,,,,,,,3.25,3.25,3.25,3.25,3.25,3.25,32.9,32.1,32.1,32.1,33.1,33.1,468.9,472.4,472.4,472.4,490.7,490.7,279514.7,281893.1,281893.1,281893.1,287212.6,287212.6,1050.91,1038.23,1022.43,1007.49,1010.94,1002.21,1144.04,,,,,,,,,67.9,63.7,,,0,37.46,0,8.66,0,0,0,-0.236,0,0,0,52.36,,0,,-16.43,
43,2005년 7월,3.25,291536.1,290051.3,286889.4,78.444,1.5,3.7,33.4,33.7,1037.44,1058.71,517.15,,,501.6,,77.58,77.895,78.365,78.444,78.365,78.129,4.3,4.3,4.1,3.8,3.6,3.6,903.35,964.48,988.23,955.41,938.98,991.34,492.31,474.28,448.71,441.46,487.55,525.01,,,,,,,3.25,3.25,3.25,3.25,3.25,3.25,32.1,32.1,32.1,33.1,33.1,33.1,472.4,472.4,472.4,490.7,490.7,490.7,281893.1,281893.1,281893.1,287212.6,287212.6,287212.6,1038.23,1022.43,1007.49,1010.94,1002.21,1010.87,1091.19,,,,,,,,,68.4,64.5,,,0.1,-7.86,0,26.57,4323.5,1827,486.7,0.315,-0.4,0.3,-0.4,67.37,,10.9,,52.36,
44,2005년 8월,3.25,291536.1,290051.3,286889.4,78.679,1.5,3.6,33.4,33.7,1021.17,1101.84,538.37,,,501.6,,77.895,78.365,78.444,78.365,78.129,78.444,4.3,4.1,3.8,3.6,3.6,3.7,964.48,988.23,955.41,938.98,991.34,1058.71,474.28,448.71,441.46,487.55,525.01,517.15,,,,,,,3.25,3.25,3.25,3.25,3.25,3.25,32.1,32.1,33.1,33.1,33.1,33.4,472.4,472.4,490.7,490.7,490.7,501.6,281893.1,281893.1,287212.6,287212.6,287212.6,291536.1,1022.43,1007.49,1010.94,1002.21,1010.87,1037.44,1050.91,,,,,,,,,68.6,64.7,,,-0.1,21.22,0,-16.27,0,0,0,0.235,0,0,0,43.13,,0,,67.37,
45,2005년 9월,3.25,291536.1,290051.3,286889.4,79.071,1.5,3.6,33.4,33.7,1029.33,1171.02,591.7,,,501.6,,78.365,78.444,78.365,78.129,78.444,78.679,4.1,3.8,3.6,3.6,3.7,3.6,988.23,955.41,938.98,991.34,1058.71,1101.84,448.71,441.46,487.55,525.01,517.15,538.37,,,,,,,3.25,3.25,3.25,3.25,3.25,3.25,32.1,33.1,33.1,33.1,33.4,33.4,472.4,490.7,490.7,490.7,501.6,501.6,281893.1,287212.6,287212.6,287212.6,291536.1,291536.1,1007.49,1010.94,1002.21,1010.87,1037.44,1021.17,1038.23,,,,,,,,,68.8,65,,,0,53.33,0,8.16,0,0,0,0.392,0,0,0,69.18,,0,,43.13,
46,2005년 10월,3.5,294487.8,292554,290141,78.914,1,3.6,32.6,34.1,1046.25,1190.86,652.37,,,514.8,,78.444,78.365,78.129,78.444,78.679,79.071,3.8,3.6,3.6,3.7,3.6,3.6,955.41,938.98,991.34,1058.71,1101.84,1171.02,441.46,487.55,525.01,517.15,538.37,591.7,,,,,,,3.25,3.25,3.25,3.25,3.25,3.25,33.1,33.1,33.1,33.4,33.4,33.4,490.7,490.7,490.7,501.6,501.6,501.6,287212.6,287212.6,287212.6,291536.1,291536.1,291536.1,1010.94,1002.21,1010.87,1037.44,1021.17,1029.33,1022.43,,,,,,,,,68.8,65,,,0,60.67,0.25,16.92,2951.7,2502.7,3251.6,-0.157,-0.5,-0.8,0.4,19.84,,13.2,,69.18,
47,2005년 11월,3.5,294487.8,292554,290141,78.6,1,3.3,32.6,34.1,1041.43,1253.26,721.05,,,514.8,,78.365,78.129,78.444,78.679,79.071,78.914,3.6,3.6,3.7,3.6,3.6,3.6,938.98,991.34,1058.71,1101.84,1171.02,1190.86,487.55,525.01,517.15,538.37,591.7,652.37,,,,,,,3.25,3.25,3.25,3.25,3.25,3.5,33.1,33.1,33.4,33.4,33.4,32.6,490.7,490.7,501.6,501.6,501.6,514.8,287212.6,287212.6,291536.1,291536.1,291536.1,294487.8,1002.21,1010.87,1037.44,1021.17,1029.33,1046.25,1007.49,,,,,,,,,68.8,65.1,,,-0.3,68.68,0,-4.82,0,0,0,-0.314,0,0,0,62.4,,0,,19.84,
48,2005년 12월,3.75,294487.8,292554,290141,78.836,1,3.5,32.6,34.1,1024.15,1338.81,708.27,,,514.8,,78.129,78.444,78.679,79.071,78.914,78.6,3.6,3.7,3.6,3.6,3.6,3.3,991.34,1058.71,1101.84,1171.02,1190.86,1253.26,525.01,517.15,538.37,591.7,652.37,721.05,,,,,,,3.25,3.25,3.25,3.25,3.5,3.5,33.1,33.4,33.4,33.4,32.6,32.6,490.7,501.6,501.6,501.6,514.8,514.8,287212.6,291536.1,291536.1,291536.1,294487.8,294487.8,1010.87,1037.44,1021.17,1029.33,1046.25,1041.43,1010.94,,,,,,,,,68.9,65.4,,,0.2,-12.78,0.25,-17.28,0,0,0,0.236,0,0,0,85.55,,0,,62.4,
49,2006년 1월,3.75,299314.8,294724.3,293016.1,79.306,1.6,3.8,34.2,33.2,987.03,1379.32,656.84,61675,,522.4,,78.444,78.679,79.071,78.914,78.6,78.836,3.7,3.6,3.6,3.6,3.3,3.5,1058.71,1101.84,1171.02,1190.86,1253.26,1338.81,517.15,538.37,591.7,652.37,721.05,708.27,,,,,,,3.25,3.25,3.25,3.5,3.5,3.75,33.4,33.4,33.4,32.6,32.6,32.6,501.6,501.6,501.6,514.8,514.8,514.8,291536.1,291536.1,291536.1,294487.8,294487.8,294487.8,1037.44,1021.17,1029.33,1046.25,1041.43,1024.15,1002.21,,,,,,,294.6,521.3,69.1,65.7,,,0.3,-51.43,0,-37.12,4827,2170.3,2875.1,0.47,0.6,1.6,-0.9,40.51,,7.6,,85.55,
50,2006년 2월,4,299314.8,294724.3,293016.1,79.464,1.6,4.1,34.2,33.2,970.22,1341.72,657.5,80638,,522.4,,78.679,79.071,78.914,78.6,78.836,79.306,3.6,3.6,3.6,3.3,3.5,3.8,1101.84,1171.02,1190.86,1253.26,1338.81,1379.32,538.37,591.7,652.37,721.05,708.27,656.84,,,,,,,3.25,3.25,3.5,3.5,3.75,3.75,33.4,33.4,32.6,32.6,32.6,34.2,501.6,501.6,514.8,514.8,514.8,522.4,291536.1,291536.1,294487.8,294487.8,294487.8,299314.8,1021.17,1029.33,1046.25,1041.43,1024.15,987.03,1010.87,,,,,,61675,248.2,471.6,69.4,66.2,-46.4,18963,0.3,0.66,0.25,-16.81,0,0,0,0.158,0,0,0,-37.6,,0,,40.51,
51,2006년 3월,4,299314.8,294724.3,293016.1,79.934,1.6,3.9,34.2,33.2,975.09,1331.72,693.71,100342,,522.4,,79.071,78.914,78.6,78.836,79.306,79.464,3.6,3.6,3.3,3.5,3.8,4.1,1171.02,1190.86,1253.26,1338.81,1379.32,1341.72,591.7,652.37,721.05,708.27,656.84,657.5,,,,,,,3.25,3.5,3.5,3.75,3.75,4,33.4,32.6,32.6,32.6,34.2,34.2,501.6,514.8,514.8,514.8,522.4,522.4,291536.1,294487.8,294487.8,294487.8,299314.8,299314.8,1029.33,1046.25,1041.43,1024.15,987.03,970.22,1037.44,,,,,61675,80638,269.4,501.2,69.8,66.9,21.2,19704,-0.2,36.21,0,4.87,0,0,0,0.47,0,0,0,-10,,0,,-37.6,18963
52,2006년 4월,4,301501.6,296380.1,295371.9,80.013,0.7,3.5,32.5,32.8,954.44,1415.92,663.35,85393,,540.5,,78.914,78.6,78.836,79.306,79.464,79.934,3.6,3.3,3.5,3.8,4.1,3.9,1190.86,1253.26,1338.81,1379.32,1341.72,1331.72,652.37,721.05,708.27,656.84,657.5,693.71,,,,,,,3.5,3.5,3.75,3.75,4,4,32.6,32.6,32.6,34.2,34.2,34.2,514.8,514.8,514.8,522.4,522.4,522.4,294487.8,294487.8,294487.8,299314.8,299314.8,299314.8,1046.25,1041.43,1024.15,987.03,970.22,975.09,1021.17,,,,61675,80638,100342,251.9,451.1,70.4,67.9,-17.5,-14949,-0.4,-30.36,0,-20.65,2186.8,1655.8,2355.8,0.079,-0.9,-1.7,-0.4,84.2,,18.1,,-10,19704
53,2006년 5월,4,301501.6,296380.1,295371.9,80.169,0.7,3.2,32.5,32.8,941.4,1388.83,576.71,85190,,540.5,,78.6,78.836,79.306,79.464,79.934,80.013,3.3,3.5,3.8,4.1,3.9,3.5,1253.26,1338.81,1379.32,1341.72,1331.72,1415.92,721.05,708.27,656.84,657.5,693.71,663.35,,,,,,,3.5,3.75,3.75,4,4,4,32.6,32.6,34.2,34.2,34.2,32.5,514.8,514.8,522.4,522.4,522.4,540.5,294487.8,294487.8,299314.8,299314.8,299314.8,301501.6,1041.43,1024.15,987.03,970.22,975.09,954.44,1029.33,,,61675,80638,100342,85393,240.3,418.3,71.1,68.9,-11.6,-203,-0.3,-86.64,0,-13.04,0,0,0,0.156,0,0,0,-27.09,,0,,84.2,-14949
