idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(전국),총 인구(명),가계대출(조원),평균전세가율(전국),소비자물가지수(2015 = 100)(lag6),소비자물가지수(2015 = 100)(lag5),소비자물가지수(2015 = 100)(lag4),소비자물가지수(2015 = 100)(lag3),소비자물가지수(2015 = 100)(lag2),소비자물가지수(2015 = 100)(lag1),실업률(%)(lag6),실업률(%)(lag5),실업률(%)(lag4),실업률(%)(lag3),실업률(%)(lag2),실업률(%)(lag1),KOSPI(평균)(lag6),KOSPI(평균)(lag5),KOSPI(평균)(lag4),KOSPI(평균)(lag3),KOSPI(평균)(lag2),KOSPI(평균)(lag1),KOSDAQ(평균)(lag6),KOSDAQ(평균)(lag5),KOSDAQ(평균)(lag4),KOSDAQ(평균)(lag3),KOSDAQ(평균)(lag2),KOSDAQ(평균)(lag1),평균전세가율(전국)(lag6),평균전세가율(전국)(lag5),평균전세가율(전국)(lag4),평균전세가율(전국)(lag3),평균전세가율(전국)(lag2),평균전세가율(전국)(lag1),기준금리(%)(lag6),기준금리(%)(lag5),기준금리(%)(lag4),기준금리(%)(lag3),기준금리(%)(lag2),기준금리(%)(lag1),국내총투자율(%)(lag6),국내총투자율(%)(lag5),국내총투자율(%)(lag4),국내총투자율(%)(lag3),국내총투자율(%)(lag2),국내총투자율(%)(lag1),가계대출(조원)(lag6),가계대출(조원)(lag5),가계대출(조원)(lag4),가계대출(조원)(lag3),가계대출(조원)(lag2),가계대출(조원)(lag1),국내총생산(시장가격 GDP)(십억원)(lag6),국내총생산(시장가격 GDP)(십억원)(lag5),국내총생산(시장가격 GDP)(십억원)(lag4),국내총생산(시장가격 GDP)(십억원)(lag3),국내총생산(시장가격 GDP)(십억원)(lag2),국내총생산(시장가격 GDP)(십억원)(lag1),원/미국달러(매매기준율 평균 원)(lag6),원/미국달러(매매기준율 평균 원)(lag5),원/미국달러(매매기준율 평균 원)(lag4),원/미국달러(매매기준율 평균 원)(lag3),원/미국달러(매매기준율 평균 원)(lag2),원/미국달러(매매기준율 평균 원)(lag1),원/미국달러(매매기준율 평균 원)(lag8),아파트 거래량 매매(전국)(lag6),아파트 거래량 매매(전국)(lag5),아파트 거래량 매매(전국)(lag4),아파트 거래량 매매(전국)(lag3),아파트 거래량 매매(전국)(lag2),아파트 거래량 매매(전국)(lag1),평균아파트매매가격(전국),평균아파트매매가격(서울),평균종합주택매매가격지수(전국),평균종합주택매매가격지수(서울),평균아파트매매가격(전국) (diff; order=1),아파트 거래량 매매(전국) (diff; order=1),실업률(%) (diff; order=1),KOSDAQ(평균) (diff; order=1),기준금리(%) (diff; order=1),원/미국달러(매매기준율 평균 원) (diff; order=1),국내총생산(시장가격 GDP)(십억원) (diff; order=1),국내총소득(GDI) (diff; order=1),국민총소득(GNI) (diff; order=1),소비자물가지수(2015 = 100) (diff; order=1),경제성장률(%) (diff; order=1),국내총투자율(%) (diff; order=1),총저축률(%) (diff; order=1),KOSPI(평균) (diff; order=1),총 인구(명) (diff; order=1),가계대출(조원) (diff; order=1),평균전세가율(전국) (diff; order=1),KOSPI(평균) (diff; order=1)(lag1),아파트 거래량 매매(전국) (diff; order=1)(lag1)
11,2002년 11월,4.25,260953.4,267202.2,266496,71.764,1.1,2.9,32.2,32.1,1211.91,679.73,,,,416.8,,71.298,71.231,71.032,71.498,71.898,71.697,3.1,2.9,3,3.2,2.7,2.8,842.23,784.3,753.67,713.23,703,642.22,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,31.6,31.6,31.1,31.1,31.1,32.2,,,,,,416.8,253005.6,253005.6,258120.9,258120.9,258120.9,260953.4,1266.06,1223.47,1185.12,1196.37,1208.5,1241.13,1322.51,,,,,,,,,,,,,0.1,,0,-29.22,0,0,0,0.067,0,0,0,37.51,,0,,-60.78,
12,2002년 12월,4.25,260953.4,267202.2,266496,72.096,1.1,3.1,32.2,32.1,1208.91,699.84,,,,416.8,,71.231,71.032,71.498,71.898,71.697,71.764,2.9,3,3.2,2.7,2.8,2.9,784.3,753.67,713.23,703,642.22,679.73,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,31.6,31.1,31.1,31.1,32.2,32.2,,,,,416.8,416.8,253005.6,258120.9,258120.9,258120.9,260953.4,260953.4,1223.47,1185.12,1196.37,1208.5,1241.13,1211.91,1318.93,,,,,,,,,,,,,0.2,,0,-3,0,0,0,0.332,0,0,0,20.11,,0,,37.51,
13,2003년 1월,4.25,259233.3,265063.6,264112.5,72.564,-0.7,3.7,33.4,32.4,1179.27,630.98,,,,420.7,,71.032,71.498,71.898,71.697,71.764,72.096,3,3.2,2.7,2.8,2.9,3.1,753.67,713.23,703,642.22,679.73,699.84,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,31.1,31.1,31.1,32.2,32.2,32.2,,,,416.8,416.8,416.8,258120.9,258120.9,258120.9,260953.4,260953.4,260953.4,1185.12,1196.37,1208.5,1241.13,1211.91,1208.91,1266.06,,,,,,,,,,,,,0.6,,0,-29.64,-1720.1,-2138.6,-2383.5,0.468,-1.8,1.2,0.3,-68.86,,3.9,,20.11,
14,2003년 2월,4.25,259233.3,265063.6,264112.5,72.962,-0.7,3.8,33.4,32.4,1191.19,591.56,,,,420.7,,71.498,71.898,71.697,71.764,72.096,72.564,3.2,2.7,2.8,2.9,3.1,3.7,713.23,703,642.22,679.73,699.84,630.98,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,31.1,31.1,32.2,32.2,32.2,33.4,,,416.8,416.8,416.8,420.7,258120.9,258120.9,260953.4,260953.4,260953.4,259233.3,1196.37,1208.5,1241.13,1211.91,1208.91,1179.27,1223.47,,,,,,,,,,,,,0.1,,0,11.92,0,0,0,0.398,0,0,0,-39.42,,0,,-68.86,
15,2003년 3월,4.25,259233.3,265063.6,264112.5,73.828,-0.7,3.7,33.4,32.4,1232.4,550.75,,,,420.7,,71.898,71.697,71.764,72.096,72.564,72.962,2.7,2.8,2.9,3.1,3.7,3.8,703,642.22,679.73,699.84,630.98,591.56,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,31.1,32.2,32.2,32.2,33.4,33.4,,416.8,416.8,416.8,420.7,420.7,258120.9,260953.4,260953.4,260953.4,259233.3,259233.3,1208.5,1241.13,1211.91,1208.91,1179.27,1191.19,1185.12,,,,,,,,,,,,,-0.1,,0,41.21,0,0,0,0.866,0,0,0,-40.81,,0,,-39.42,
16,2003년 4월,4.25,258833.7,264288.2,262762.5,73.695,-0.2,3.5,32.6,32.6,1232.82,585.88,,,,428.1,,71.697,71.764,72.096,72.564,72.962,73.828,2.8,2.9,3.1,3.7,3.8,3.7,642.22,679.73,699.84,630.98,591.56,550.75,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,32.2,32.2,32.2,33.4,33.4,33.4,416.8,416.8,416.8,420.7,420.7,420.7,260953.4,260953.4,260953.4,259233.3,259233.3,259233.3,1241.13,1211.91,1208.91,1179.27,1191.19,1232.4,1196.37,,,,,,,,,,,,,-0.2,,0,0.42,-399.6,-775.4,-1350,-0.133,0.5,-0.8,0.2,35.13,,7.4,,-40.81,
17,2003년 5월,4,258833.7,264288.2,262762.5,73.562,-0.2,3.4,32.6,32.6,1199.78,613.49,,,,428.1,,71.764,72.096,72.564,72.962,73.828,73.695,2.9,3.1,3.7,3.8,3.7,3.5,679.73,699.84,630.98,591.56,550.75,585.88,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4.25,32.2,32.2,33.4,33.4,33.4,32.6,416.8,416.8,420.7,420.7,420.7,428.1,260953.4,260953.4,259233.3,259233.3,259233.3,258833.7,1211.91,1208.91,1179.27,1191.19,1232.4,1232.82,1208.5,,,,,,,,,,,,,-0.1,,-0.25,-33.04,0,0,0,-0.133,0,0,0,27.61,,0,,35.13,
18,2003년 6월,4,258833.7,264288.2,262762.5,73.362,-0.2,3.4,32.6,32.6,1194.02,663.17,,,,428.1,,72.096,72.564,72.962,73.828,73.695,73.562,3.1,3.7,3.8,3.7,3.5,3.4,699.84,630.98,591.56,550.75,585.88,613.49,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4.25,4,32.2,33.4,33.4,33.4,32.6,32.6,416.8,420.7,420.7,420.7,428.1,428.1,260953.4,259233.3,259233.3,259233.3,258833.7,258833.7,1208.91,1179.27,1191.19,1232.4,1232.82,1199.78,1241.13,,,,,,,,,,,,,0,,0,-5.76,0,0,0,-0.2,0,0,0,49.68,,0,,27.61,
19,2003년 7월,3.75,263836.1,270512.7,269811,73.296,1.9,3.6,32.1,33.3,1181.59,703.53,,,,433.1,,72.564,72.962,73.828,73.695,73.562,73.362,3.7,3.8,3.7,3.5,3.4,3.4,630.98,591.56,550.75,585.88,613.49,663.17,,,,,,,,,,,,,4.25,4.25,4.25,4.25,4,4,33.4,33.4,33.4,32.6,32.6,32.6,420.7,420.7,420.7,428.1,428.1,428.1,259233.3,259233.3,259233.3,258833.7,258833.7,258833.7,1179.27,1191.19,1232.4,1232.82,1199.78,1194.02,1211.91,,,,,,,,,,,,,0.2,,-0.25,-12.43,5002.4,6224.5,7048.5,-0.066,2.1,-0.5,0.7,40.36,,5,,49.68,
20,2003년 8월,3.75,263836.1,270512.7,269811,73.628,1.9,3.5,32.1,33.3,1178.42,731.65,,,,433.1,,72.962,73.828,73.695,73.562,73.362,73.296,3.8,3.7,3.5,3.4,3.4,3.6,591.56,550.75,585.88,613.49,663.17,703.53,,,,,,,,,,,,,4.25,4.25,4.25,4,4,3.75,33.4,33.4,32.6,32.6,32.6,32.1,420.7,420.7,428.1,428.1,428.1,433.1,259233.3,259233.3,258833.7,258833.7,258833.7,263836.1,1191.19,1232.4,1232.82,1199.78,1194.02,1181.59,1208.91,,,,,,,,,,,,,-0.1,,0,-3.17,0,0,0,0.332,0,0,0,28.12,,0,,40.36,
